MLS,Status,Residential Styles,Address Number,Address Street,Zip,Map Coordinates,Community,Bedrooms Total,Baths Full,Baths Half,Estimated Square Feet,Year Built,DOMLS,List Price,Original Price,List Date Received,Sold Price,Close of Escrow Date
NDP2202100,Active,Manufactured Home,351,Palm Canyon Dr #31,92004,,,2,1,,700,1961,8,26500,26500,03/07/2022,,
NDP2202286,Active,Manufactured Home,1010,Palm Canyon,92004,,,2,2,0,1860,1977,3,55000,55000,03/10/2022,,
NDP2202301,Active,Manufactured Home,1212,H St,92065,,,2,2,,1040,1977,4,79500,79500,03/13/2022,,
220005945,Active,Manufactured Home,2250,Broadway,92026,,NORTH ESCONDIDO,2,2,0,1470,1978,0,110000,110000,03/16/2022,,
220005941,Active,All Other Attached,1656,Las Casitas,92004,1099F4,BORREGO SPRINGS,2,2,0,1161,1989,0,150000,150000,03/16/2022,,
NDP2202254,Active,Manufactured Home,3909,Reche,92028,,,2,2,,1440,1970,2,150000,150000,03/11/2022,,
NDP2202307,Active,"Manufactured Home, Detached",8301,Mission Gorge,92071,,,2,2,0,1200,1969,2,155000,155000,03/14/2022,,
NDP2202160,Active,Manufactured Home,1833,Cindy,92154,,,3,2,,880,2015,7,159000,159000,03/09/2022,,
IV22048678,Active,Manufactured Home,1809,Carol,92154,,,3,2,,980,1976,6,159900,169900,03/10/2022,,
220005597,Active,Manufactured Home,10800,Woodside,92071,,SANTEE,3,2,0,1248,1979,5,189000,189000,03/11/2022,,
NDP2202076,Active,Manufactured Home,2700,Valley Parkway,92027,,,3,2,,1440,1971,8,189900,189900,03/03/2022,,
PTP2201596,Active,Manufactured Home,2003,Bayview Hights,92105,,,2,2,0,1440,1970,5,195000,195000,03/09/2022,,
NDP2202103,Active,Manufactured Home,330,Palm Canyon Dr #24,92004,,,3,2,,1166,2022,8,199000,199000,03/08/2022,,
NDP2202105,Active,Manufactured Home,330,Palm Canyon Dr #25,92004,,,3,2,,1166,2022,8,199000,199000,03/08/2022,,
220005526,Pending,Mobile Home,55,El Morro,92058,,OCEANSIDE,2,2,0,1080,1967,4,209000,209000,03/11/2022,,
220005376,Active,Detached,1712,Las Casitas,92004,1099F4,BORREGO SPRINGS,3,2,0,1235,1999,7,220000,220000,03/09/2022,,
NDP2202367,Active,Manufactured Home,900,Cleveland,92054,,,2,1,0,900,1971,1,225000,225000,03/01/2022,,
220005790,Active,Mobile Home,323,Horizon,92056,,OCEANSIDE,3,2,0,1512,1974,2,229000,229000,03/14/2022,,
NDP2202315,Active,"Manufactured Home, Detached",30006,Chihuahua Valley Road,92086,,,1,1,,300,1994,2,250000,250000,03/14/2022,,
NDP2202363,Active,"Manufactured Home, Detached",525,El Norte Parkway,92026,,,2,2,,1140,1968,1,269900,269900,03/15/2022,,
220005630,Active,Manufactured Home,1286,Discovery,92078,,SAN MARCOS,2,2,0,1040,1991,5,279999,279999,03/11/2022,,
220005590,Active,Manufactured Home,18218,Paradise Mountain,92082,1091F4,VALLEY CENTER,2,2,0,1620,1982,5,285000,285000,03/11/2022,,
PTP2201593,Active,Detached,1262,Railroad St,91934,,,3,1,,1330,1959,5,285000,285000,03/11/2022,,
PTP2201522,Pending,"All Other Attached, Condominium",1777,Bayview Heights Dr,92105,,,1,1,,523,1979,9,285000,285000,03/10/2022,,
220005681,Active,All Other Attached,6682,University,92115,1.27E+07,SAN DIEGO,1,1,0,535,1981,4,289000,289000,03/12/2022,,
NDP2202346,Pending,Manufactured Home,18218,Paradise Mountain Rd Spc 207,92082,,,2,2,0,1568,1984,0,289000,289000,03/15/2022,,
220005460,Pending,All Other Attached,9737,Winter Gardens,92040,,LAKESIDE,1,1,0,572,1971,5,289900,289900,03/10/2022,,
NDP2202377,Active,"Manufactured Home, Detached",1401,El Norte Parkway,92069,,,3,2,0,1440,1971,1,293500,293500,03/15/2022,,
220005958,Active,Detached,2418,Lake Morena,91906,,CAMPO,3,1,0,1008,1946,0,299000,299000,03/16/2022,,
OC22049314,Active,"Manufactured Home, Detached",35109,Highway 79,92086,,,3,2,,1848,1989,5,299000,299000,03/11/2022,,
NDP2202240,Pending,Manufactured Home,650,Rancho Santa Fe,92078,,,2,2,,1344,1977,3,299000,299000,03/10/2022,,
220005919,Active,Manufactured Home,15935,Spring Oaks,92101,,EL CAJON,3,2,0,1152,1992,1,300000,300000,03/15/2022,,
220005259,Active,All Other Attached,8019,Caminito De Pizza,92108,,MISSION VALLEY,0,1,0,506,1975,8,309900,309900,03/08/2022,,
NDP2202333,Active,"All Other Attached, Condominium",1682,Circa Del Lago,92078,,,2,2,,962,1986,1,315000,315000,03/15/2022,,
220005806,Active,All Other Attached,1607,Pentecost,92105,,SAN DIEGO,2,1,0,813,1979,2,320000,320000,03/14/2022,,
220005705,Active,Detached,3890,Pecos,92004,1099D2,BORREGO SPRINGS,2,2,0,1130,2002,4,324000,324000,03/12/2022,,
220005660,Pending,All Other Attached,1021,Scott,92106,,POINT LOMA,0,1,0,267,1980,3,325000,325000,03/11/2022,,
NDP2201554,Active,Manufactured Home,2239,Black Canyon Rd,92065,,,3,2,0,1620,2005,5,340000,319750,02/19/2022,,
220005928,Active,Detached,3159,Roadrunner,92004,1099G5,BORREGO SPRINGS,2,2,0,1317,1986,0,345000,345000,03/16/2022,,
NDP2202128,Active,Detached,1273,Ridge Trail,92036,,,2,1,,725,1951,7,349000,349000,03/09/2022,,
NDP2202217,Active,"All Other Attached, Condominium",1050,Rock Springs,92026,,,2,1,,821,1977,4,349900,349900,03/12/2022,,
220005673,Active,All Other Attached,1340,Holly,91932,,IMPERIAL BEACH,1,1,0,600,1979,5,349900,349900,03/11/2022,,
220005675,Active,All Other Attached,1340,Holly,91932,,IMPERIAL BEACH,1,1,0,600,1979,5,349900,349900,03/11/2022,,
NDP2202289,Active,"All Other Attached, Townhome",12100,Wintergreen,92040,,,2,1,,903,1973,1,375000,375000,03/15/2022,,
220005543,Pending,All Other Attached,4463,Mayberry,92113,1289H6,LOGAN HEIGHTS,2,1,1,856,1981,0,375000,375000,03/10/2022,,
PTP2201513,Active,Detached,7859,Valley View,91962,,,3,1,,1108,1926,6,380000,380000,03/10/2022,,
220005351,Active,All Other Attached,3078,Broadway,92102,,SAN DIEGO,1,1,0,550,1993,7,385000,385000,03/09/2022,,
220005602,Active,All Other Attached,1150,J,92101,,DOWNTOWN,0,1,0,571,2005,5,385000,385000,03/11/2022,,
NDP2202151,Pending,Detached,817,Fig,92026,,,3,1,,920,1948,1,385000,385000,03/09/2022,,
220005398,Active,All Other Attached,5442,Adobe Falls,92120,,DEL CERRO,2,1,1,884,1973,7,389000,389000,03/09/2022,,
NDP2202207,Pending,"All Other Attached, Condominium",5180,River,92057,,,2,1,,992,1984,5,389900,389900,03/10/2022,,
PTP2201563,Active,"All Other Attached, Condominium",4222,Menlo,92115,,,2,2,,800,1992,6,390000,390000,03/10/2022,,
220005889,Active,All Other Attached,6955,Alvarado,92120,,DELCERDELC,2,2,0,884,1970,1,399000,399000,03/15/2022,,
SW22050502,Active,Detached,22186,Crestline,92060,,,2,2,,1512,1964,1,399900,399900,03/15/2022,,
220005368,Active,All Other Attached,9709,Mesa Springs,92126,,MIRA MESA,1,1,0,772,1985,7,400000,400000,03/09/2022,,
PTP2201501,Active,"All Other Attached, Condominium",720,Lewis,92103,,,1,1,,568,1991,8,414500,414500,03/08/2022,,
220005868,Active,All Other Attached,9528,Carroll Canyon,92126,,MIRA MESA,1,1,0,604,1977,1,415000,415000,03/15/2022,,
220005567,Active,All Other Attached,4747,Hamilton,92116,,UNIVERSITY HEIGHTS,1,1,0,548,1971,5,415000,415000,03/11/2022,,
PTP2201619,Pending,"All Other Attached, Condominium",8741,Lake Murray,92119,,,2,1,,1041,1972,3,415000,415000,03/11/2022,,
220005390,Active,Detached,2031,Lanoitan,91950,1310B2,NATIONAL CITY,2,1,0,784,1925,7,419000,419000,03/09/2022,,
NDP2202325,Active,"All Other Attached, Condominium",615,Vine,92054,,,1,1,,525,1979,2,420000,420000,03/14/2022,,
NDP2202136,Pending,"Detached, Condominium",520,Sandalwood,92027,,,3,2,,1095,1979,4,424000,424000,03/11/2022,,
220005662,Pending,Townhome,2518,White Oak,92027,,EAST ESCONDIDO,2,1,1,896,1973,3,425000,425000,03/11/2022,,
PTP2201572,Pending,"All Other Attached, Condominium",1000,Estes St,92020,,,2,2,,960,1981,4,430000,399000,03/10/2022,,
NDP2202157,Pending,"All Other Attached, Detached",3837,Savory Way,92057,,,2,2,,1064,1977,6,430000,430000,03/09/2022,,
PTP2201636,Active,"All Other Attached, Condominium",9953,Woodpark,92071,,,2,1,,896,1973,3,435000,435000,03/13/2022,,
NDP2202265,Pending,"Manufactured Home, Detached",8975,Lawrence Welk Drive,92026,,,2,2,0,1347,1989,0,435900,435900,03/11/2022,,
220005809,Active,All Other Attached,15721,Davis Cup,92065,,RAMONA,3,2,0,1369,1978,1,439000,439000,03/15/2022,,
PTP2201497,Active,"All Other Attached, Condominium",462,Anza,92020,,,2,1,1,900,1979,8,439999,439999,03/08/2022,,
NDP2202268,Pending,"All Other Attached, Duplex",3660,Vista Campana,92057,,,2,2,,1004,1964,0,444000,444000,03/19/2022,,
PTP2201672,Active,Detached,1350,Marshall,91901,,,1,1,0,520,1950,1,449000,449000,03/15/2022,,
220005591,Active,Detached,38383,Old Highway 80,91905,1299J6,BOULEVARD,3,2,0,1350,1982,5,449000,449000,03/11/2022,,
